	APL	CO2	COBL9	COR	E30	GL2	PET111	S17	S18	S32	S4	SCOL	SCR	WER	WOL	WOX5	Elong	Mat	Mer	Wrt	CHX	MOCK
AT2G20450	98.09453333	372.3783333	66.5415	52.38876667	39.05046667	352.396	229.9255	60.6675	46.63083333	333.0463333	562.1856667	430.9116667	354.115	429.3283333	411.0503333	252.438	267.917	33.4914	1292.5	265.262	23.3482	157.63
AT2G20453	0	0	0	0	0	0	0	0.908086667	1.78003	0.56087	0.65418	0	0	0.369456667	0	0.703553333	0	0	0.399706667	0	0	0
AT2G20463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G20465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034599333	0	0	0
AT2G20470	0.1775654	0.428244667	0.319938667	0.071388333	0.251306333	0.373178333	0.225378	0.111014167	0	0.472669667	0.201328333	0.256967	0.187776767	0.339154	0.309579667	0.421838667	0.137828167	0.130014633	0.486020333	0.086621933	0.505097667	0.12447
AT2G20480	2.765766667	8.74056	2.189793333	2.533376667	1.951301	5.16989	2.467955667	0.381258667	0.928243333	4.43819	10.87161	3.93119	4.817186667	4.570376667	5.830353333	5.610373333	6.1771	1.813643333	15.66206667	4.764126667	1.238899	3.061206667
AT2G20490	42.6911	324.1563333	14.02378	21.1779	27.78526667	140.839	145.4386667	22.78862333	31.9553	297.2313333	422.993	196.1053333	179.96	195.8226667	237.0446667	298.6726667	57.6379	20.6007	552.4983333	128.0416667	9.168766667	93.53083333
AT2G20495	6.022016667	2.937523333	5.86331	4.83458	9.386576667	3.948293333	3.16386	3.443543333	3.930783333	6.55494	2.103193333	3.50274	2.945883333	3.23903	3.27632	2.926753333	5.280466667	10.5375	4.424126667	4.51439	6.79923	4.36602
AT2G20500	131.808	4.025063333	4.75457	3.997916667	8.135103333	3.89918	5.38809	7.739906667	200.1946667	14.17863333	19.2857	7.34119	4.825176667	3.941706667	9.49601	3.83846	3.48367	5.281546667	3.3884	8.53011	25.78833333	7.874543333
AT2G20510	1.440098	0.684284667	0.443649333	0.627224	0.462054	0.507645333	0.367248	0.077721833	0.526027333	2.18588	0.284388	0.3040962	0.585728333	0.783779667	0.300660667	0.341753667	0.334754667	0.536865	0.464085	0.369363667	1.009367333	0.133525067
AT2G20515	34.052	83.07543333	5.079456667	35.2191	4.685863333	37.6634	19.14767	4.329451	9.003146667	146.347	57.18636667	39.7503	41.6774	38.4834	34.79456667	44.0889	22.41226667	0.672025667	75.22853333	30.49876667	3.940886667	14.1457
AT2G20520	2.02333	0.473693667	91.042	0.458531333	1.213879333	1.351184667	2.54178	0.530487	2.502353333	1.174369	0.33722	8.60493	2.783470667	6.06682	5.73157	0.228491333	8.27998	58.64853333	0.156157333	27.20526667	1.178955333	26.38916667
AT2G20530	24.4485	73.63436667	26.82316667	10.75254	26.1475	48.91963333	35.1864	18.22256667	9.83946	53.58593333	86.41936667	46.51333333	37.1906	57.1798	65.03206667	64.6485	41.84273333	33.4891	117.645	33.98306667	30.6725	25.36706667
AT2G20540	1.341119	1.108046667	1.667441	0.210446333	0.265325	0.779312667	0.546349333	0.958693667	0.474855333	1.124324667	1.482073333	1.304113	0.639752667	0.967810333	1.099795667	1.635973333	0.916775	0.341965	3.36451	1.551496667	1.6536	1.09156
AT2G20550	11.53116667	0.918525333	1.775156667	0.984001333	0.628258333	0.676864333	1.008385667	9.79328	3.719192667	3.487586667	1.689879333	0.856511333	0.869250667	0.414275667	1.088765667	0.838028333	1.157492	1.798533333	0.630366667	4.664013333	9.72805	4.987993333
AT2G20560	77.20946667	39.59316667	26.0772	68.91506667	200.3526667	17.07616667	77.1582	86.25566667	129.2323333	21.0465	17.66831667	29.0345	33.25553333	10.30143	9.607786667	34.7787	2.631463333	17.46376667	1.022691	5.204396667	40.80536667	10.88668333
AT2G20562	124.3052333	9.95944	40.7062	55.8293	82.84016667	25.92033333	5.06772	14.94176667	6.91097	31.42603333	1.128320333	12.58993333	23.57073333	15.10645667	10.90203333	3.752426667	46.20823333	69.24786667	6.75319	9.239533333	470.1876667	14.76656667
AT2G20570	0.728721667	0	0.501975667	0	1.146649667	0.039624333	0	0.145731	0.054708333	0.090848933	0.030672	0.014665233	0.165241067	0	0.035734167	0	0.0867074	0.0861543	0.037286133	0.0515026	0.158145667	0.047090433
AT2G20580	46.86563333	49.59843333	52.576	41.47323333	52.52196667	51.82766667	35.21396667	37.8	45.1188	67.5252	60.62203333	42.2858	40.336	52.02446667	49.98623333	44.99556667	50.03183333	59.93873333	50.443	35.12696667	29.7306	22.1505
AT2G20585	21.39043333	62.44203333	13.89796667	9.478023333	8.984193333	37.01723333	34.46023333	12.18367	10.42490667	48.7635	74.69173333	51.48883333	38.5713	41.72056667	53.66363333	45.22063333	39.92626667	15.46936667	101.5090333	35.33423333	21.66823333	21.52293333
AT2G20590	1.274989667	9.026523333	0.985793333	0.880572	0.771043	1.679383333	1.366767667	0.727628667	0.563386667	11.4752	12.30231333	2.865386667	3.48891	1.510123333	4.51845	10.14890333	0.764879667	1.257354333	13.29166667	4.06935	0.217037333	3.238626667
AT2G20595	0	0	0	0	0	0	0	0	0	0.099992667	0	0	0	0	0	0	0	0	0	0	0	0
AT2G20597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G20605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT2G20610	12.00507333	43.69753333	5.14061	17.9657	68.74633333	6.494393333	9.2232	36.7142	2.83718	8.316693333	8.393016667	10.99573333	21.77113333	9.255376667	6.276346667	82.10513333	10.39553667	36.5399	12.2011	28.11766667	9.344386667	35.75396667
